iter	Passed	Remaining
462	775	899
463	776	897
464	778	895
465	779	893
466	780	890
467	781	888
468	783	886
469	784	884
470	785	882
471	787	880
472	788	879
473	790	876
474	791	874
475	793	872
476	794	870
477	795	868
478	796	866
479	799	865
480	802	865
481	803	863
482	805	861
483	806	859
484	808	858
485	809	856
486	810	854
487	812	852
488	813	850
489	814	848
490	816	846
491	817	844
492	818	842
493	820	840
494	821	837
495	822	835
496	823	833
497	825	831
498	826	829
499	827	827
500	829	825
501	830	823
502	831	821
503	832	819
504	833	817
505	834	815
506	836	813
507	837	811
508	839	809
509	841	808
510	842	806
511	843	804
512	845	802
513	846	800
514	847	798
515	849	796
516	850	794
517	851	792
518	852	790
519	857	791
520	859	790
521	861	788
522	862	786
523	864	784
524	865	783
525	866	781
526	868	779
527	869	777
528	870	775
529	871	772
530	873	771
531	875	769
532	876	767
533	877	765
534	878	763
535	881	762
536	882	761
537	884	759
538	886	758
539	888	756
540	889	754
541	891	753
542	892	751
543	894	749
544	895	747
545	897	745
546	898	744
547	899	742
548	902	741
549	903	739
550	905	737
551	907	736
552	908	734
553	910	732
554	911	731
555	913	729
556	915	727
557	916	726
558	918	724
559	919	722
560	921	721
561	923	719
562	924	717
563	926	716
564	928	714
565	929	712
566	931	711
567	932	709
568	935	708
569	936	706
570	938	705
571	940	703
572	941	701
573	943	699
574	944	698
575	945	696
576	947	694
577	949	693
578	950	691
579	952	689
580	953	687
581	955	686
582	956	684
583	957	682
584	959	680
585	961	679
586	964	678
587	965	676
588	966	674
589	968	672
590	969	671
591	971	669
592	973	668
593	975	667
594	977	665
595	979	663
596	980	661
597	982	660
598	983	658
599	985	656
600	986	655
601	987	653
602	990	651
603	991	650
604	993	648
605	994	646
606	995	644
607	997	643
608	999	641
609	1000	639
610	1003	638
611	1005	637
612	1006	635
613	1008	634
614	1009	632
615	1011	630
616	1013	628
617	1014	627
618	1016	625
619	1020	625
620	1022	624
621	1024	622
622	1026	621
623	1028	619
624	1029	617
625	1030	615
626	1032	614
627	1033	612
628	1035	610
629	1036	608
630	1037	606
631	1038	604
632	1039	602
633	1041	601
634	1042	599
635	1043	597
636	1044	595
637	1045	593
638	1047	591
639	1048	589
640	1049	587
641	1050	585
642	1051	583
643	1052	582
644	1054	580
645	1055	578
646	1056	576
647	1057	574
648	1058	572
649	1060	570
650	1061	568
651	1062	567
652	1063	565
653	1064	563
654	1066	561
655	1067	559
656	1068	557
657	1069	555
658	1070	554
659	1071	552
660	1074	550
661	1075	549
662	1077	547
663	1078	545
664	1079	544
665	1081	542
666	1082	540
667	1083	538
668	1084	536
669	1086	534
670	1087	533
671	1089	531
672	1090	530
673	1092	528
674	1093	526
675	1094	524
676	1095	522
677	1096	520
678	1097	519
679	1098	517
680	1100	515
681	1108	516
682	1109	515
683	1111	513
684	1112	511
685	1113	509
686	1115	508
687	1116	506
688	1118	504
689	1119	503
690	1121	501
691	1122	499
692	1124	497
693	1125	496
694	1127	494
695	1128	493
696	1130	491
697	1132	489
698	1133	488
699	1135	486
700	1136	484
701	1138	483
702	1139	481
703	1140	479
704	1143	478
705	1144	476
706	1147	475
707	1149	473
708	1150	472
709	1151	470
710	1153	468
711	1154	467
712	1156	465
713	1158	463
714	1159	462
715	1161	460
716	1163	459
717	1164	457
718	1166	455
719	1167	454
720	1169	452
721	1171	451
722	1172	449
723	1174	447
724	1175	445
725	1177	444
726	1178	442
727	1180	440
728	1181	439
729	1183	437
730	1184	435
731	1186	434
732	1187	432
733	1188	430
734	1190	429
735	1192	427
736	1193	425
737	1195	424
738	1196	422
739	1198	421
740	1199	419
741	1201	417
742	1202	415
743	1203	414
744	1205	412
745	1207	410
746	1208	409
747	1210	407
748	1211	406
749	1213	404
750	1214	402
751	1216	401
752	1217	399
753	1218	397
754	1220	396
755	1222	394
756	1223	392
757	1225	391
758	1226	389
759	1228	387
760	1229	386
761	1231	384
762	1232	382
763	1234	381
764	1235	379
765	1237	377
766	1239	376
767	1240	374
768	1242	373
